"","eventID","plotID","n"
"2744","UKFS.2015.36","UKFS_018",2
"2745","UKFS.2016.18","UKFS_003",1
"2746","UKFS.2016.18","UKFS_009",3
"2747","UKFS.2016.18","UKFS_018",3
"2748","UKFS.2016.26","UKFS_004",1
"2749","UKFS.2016.26","UKFS_007",3
"2750","UKFS.2016.26","UKFS_018",1
"2751","UKFS.2016.35","UKFS_018",1
"2752","UKFS.2016.39","UKFS_018",1
"2753","UKFS.2017.21","UKFS_009",3
"2754","UKFS.2017.21","UKFS_010",1
"2755","UKFS.2017.21","UKFS_018",3
"2756","UKFS.2017.25","UKFS_009",4
"2757","UKFS.2017.25","UKFS_010",1
"2758","UKFS.2017.25","UKFS_018",3
"2759","UKFS.2017.33","UKFS_009",3
"2760","UKFS.2017.33","UKFS_018",1
"2761","UKFS.2017.38","UKFS_009",1
"2762","UKFS.2018.21","UKFS_018",1
"2763","UKFS.2019.23","UKFS_009",1
"2764","UKFS.2019.23","UKFS_018",3
"2765","UKFS.2019.28","UKFS_018",1
"2766","UKFS.2019.32","UKFS_009",1
"2767","UKFS.2019.32","UKFS_018",3
"2768","UKFS.2019.36","UKFS_018",1
"2769","UKFS.2020.35","UKFS_009",1
"2770","UKFS.2022.31","UKFS_010",2
"2771","UNDE.2014.30","UNDE_001",15
"2772","UNDE.2014.30","UNDE_008",5
"2773","UNDE.2014.30","UNDE_012",15
"2774","UNDE.2014.30","UNDE_020",16
"2775","UNDE.2014.30","UNDE_027",37
"2776","UNDE.2014.30","UNDE_032",4
"2777","UNDE.2014.34","UNDE_001",38
"2778","UNDE.2014.34","UNDE_002",1
"2779","UNDE.2014.34","UNDE_003",3
"2780","UNDE.2014.34","UNDE_008",20
"2781","UNDE.2014.34","UNDE_012",27
"2782","UNDE.2014.34","UNDE_020",24
"2783","UNDE.2014.34","UNDE_027",51
"2784","UNDE.2014.34","UNDE_032",33
"2785","UNDE.2014.38","UNDE_001",34
"2786","UNDE.2014.38","UNDE_002",3
"2787","UNDE.2014.38","UNDE_003",8
"2788","UNDE.2014.38","UNDE_008",19
"2789","UNDE.2014.38","UNDE_012",32
"2790","UNDE.2014.38","UNDE_020",25
"2791","UNDE.2014.38","UNDE_027",48
"2792","UNDE.2014.38","UNDE_032",19
"2793","UNDE.2015.21","UNDE_001",2
"2794","UNDE.2015.21","UNDE_008",3
"2795","UNDE.2015.21","UNDE_012",1
"2796","UNDE.2015.21","UNDE_027",7
"2797","UNDE.2015.25","UNDE_001",4
"2798","UNDE.2015.25","UNDE_008",1
"2799","UNDE.2015.25","UNDE_012",1
"2800","UNDE.2015.25","UNDE_027",12
"2801","UNDE.2015.25","UNDE_032",2
"2802","UNDE.2015.30","UNDE_001",3
"2803","UNDE.2015.30","UNDE_003",1
"2804","UNDE.2015.30","UNDE_008",2
"2805","UNDE.2015.30","UNDE_012",3
"2806","UNDE.2015.30","UNDE_027",19
"2807","UNDE.2015.30","UNDE_032",3
"2808","UNDE.2015.34","UNDE_001",6
"2809","UNDE.2015.34","UNDE_008",3
"2810","UNDE.2015.34","UNDE_012",10
"2811","UNDE.2015.34","UNDE_027",19
"2812","UNDE.2015.34","UNDE_032",4
"2813","UNDE.2015.36","UNDE_027",29
